--- ACCOUNT SUMMARY & RECONCILIATION ---,,,,,,,,
Account Holder,Manish,,,,,,,
Broker,NSE F&O / Equity Segment,,,,,,,
,,,,,,,,
POSITION,Amount (₹),,,,,,,
Own capital deposited,50000,,,,,,,
Borrowed (loan outstanding),270000,,,,,,,
Current holdings value,30000,,,,,,,
Net P&L (value - own - borrowed),-290000,,,,,,,
,,,,,,,,
P&L BREAKDOWN,Amount (₹),,,,,,,
Realised P&L (closed trades),-272000,,,,,,,
Unrealised P&L (open holdings),-18000,,,,,,,
Total P&L (realised + unrealised),-290000,,,,,,,
,,,,,,,,
--- EQUITY CURVE (Milestones) ---,,,,,,,,
Date,Milestone,,Account Value (₹),,,,,
02 Jan 2026,Start (own ₹50k),,50000,,,,,
15 Jan 2026,After borrowing ₹2.7L,,370000,,,,,
28 Feb 2026,Volatile but Bullish Run,,830000,,,,,
25 Mar 2026,PEAK (+₹7 Lakhs Profit!),,1020000,,,,,
30 Apr 2026,The Big Crash Begins,,470000,,,,,
30 May 2026,Panic & Revenge Trading,,110000,,,,,
17 Jun 2026,Now (deficit / holding bags),,30000,,,,,
,,,,,,,,
--- CURRENT HOLDINGS (As of Jun 2026) ---,,,,,,,,
Stock,Qty,Avg. Cost (₹),LTP (₹),Invested (₹),Cur. Value (₹),Unrealised P&L (₹),Return %,
VODAFONE IDEA,2000,15,8,30000,16000,-14000,-46.67%,
YES BANK,500,24,20,12000,10000,-2000,-16.67%,
SUZLON,100,60,40,6000,4000,-2000,-33.33%,
,,,,,,,,
--- TRADE LOG (Chronological) ---,,,,,,,,
Date,Stock,Action,Qty,Price (₹),Trade Value (₹),Realised P&L (₹),Cash Balance (₹),Account Value (₹)
02 Jan 2026,FUNDS,DEPOSIT,,,50000,,50000,50000
05 Jan 2026,SUZLON,BUY,1250,40,50000,,0,50000
15 Jan 2026,FUNDS,DEPOSIT,,,270000,,270000,320000
18 Jan 2026,SUZLON,SELL,1250,80,100000,50000.0,370000,370000
20 Jan 2026,IRFC,BUY,3000,100,300000,,70000,370000
30 Jan 2026,IRFC,SELL,3000,130,390000,90000.0,460000,460000
01 Feb 2026,VODAFONE IDEA,BUY,10000,15,150000,,310000,460000
03 Feb 2026,VODAFONE IDEA,SELL,10000,13,130000,-20000.0,440000,440000
05 Feb 2026,ZOMATO,BUY,3500,120,420000,,20000,440000
15 Feb 2026,ZOMATO,SELL,3500,160,560000,140000.0,580000,580000
20 Feb 2026,TATA MOTORS,BUY,500,800,400000,,180000,580000
25 Feb 2026,TATA MOTORS,SELL,500,1000,500000,100000.0,680000,680000
26 Feb 2026,YES BANK,BUY,10000,25,250000,,430000,680000
01 Mar 2026,YES BANK,SELL,10000,22,220000,-30000.0,650000,650000
02 Mar 2026,ADANI POWER,BUY,1200,400,480000,,170000,650000
10 Mar 2026,ADANI POWER,SELL,1200,550,660000,180000.0,830000,830000
15 Mar 2026,JIOFIN,BUY,2000,250,500000,,330000,830000
20 Mar 2026,JIOFIN,SELL,2000,320,640000,140000.0,970000,970000
22 Mar 2026,BSE,BUY,200,2000,400000,,570000,970000
25 Mar 2026,BSE,SELL,200,2250,450000,50000.0,1020000,1020000
05 Apr 2026,PAYTM,BUY,1000,800,800000,,220000,1020000
15 Apr 2026,PAYTM,SELL,1000,450,450000,-350000.0,670000,670000
20 Apr 2026,YES BANK,BUY,20000,25,500000,,170000,670000
30 Apr 2026,YES BANK,SELL,20000,15,300000,-200000.0,470000,470000
05 May 2026,IREDA,BUY,2000,200,400000,,70000,470000
12 May 2026,IREDA,SELL,2000,120,240000,-160000.0,310000,310000
15 May 2026,NHPC,BUY,2500,100,250000,,60000,310000
22 May 2026,NHPC,SELL,2500,60,150000,-100000.0,210000,210000
25 May 2026,RELIANCE POWER,BUY,4000,35,140000,,70000,210000
28 May 2026,RELIANCE POWER,SELL,4000,15,60000,-80000.0,130000,130000
01 Jun 2026,GTL INFRA,BUY,10000,4,40000,,90000,130000
03 Jun 2026,GTL INFRA,SELL,10000,2,20000,-20000.0,110000,110000
05 Jun 2026,ZOMATO,BUY,500,200,100000,,10000,110000
08 Jun 2026,ZOMATO,SELL,500,120,60000,-40000.0,70000,70000
10 Jun 2026,SUZLON,BUY,1000,50,50000,,20000,70000
12 Jun 2026,SUZLON,SELL,1000,28,28000,-22000.0,48000,48000
14 Jun 2026,VODAFONE IDEA,BUY,2000,15,30000,,18000,48000
15 Jun 2026,YES BANK,BUY,500,24,12000,,6000,48000
16 Jun 2026,SUZLON,BUY,100,60,6000,,0,48000
